time,exchange,symbol,ask_amount,ask_price,bid_price,bid_amount
2022-11-05T11:20:00.000000,ftx,SOL/USD,70.47,35.36,35.3575,8.48
2022-11-05T11:21:00.000000,ftx,SOL/USD,0.02,35.365,35.3625,358.58
2022-11-05T11:22:00.000000,ftx,SOL/USD,45.08,35.42,35.4175,299.09
2022-11-05T11:23:00.000000,ftx,SOL/USD,60.05,35.3775,35.375,8.62
2022-11-05T11:24:00.000000,ftx,SOL/USD,10.02,35.3225,35.32,89.56
2022-11-05T11:25:00.000000,ftx,SOL/USD,232.95,35.3175,35.315,10.07
2022-11-05T11:26:00.000000,ftx,SOL/USD,0.02,35.335,35.3325,284.51
2022-11-05T11:27:00.000000,ftx,SOL/USD,14.64,35.315,35.3125,18.51
2022-11-05T11:28:00.000000,ftx,SOL/USD,169.14,35.315,35.3125,10.03
2022-11-05T11:29:00.000000,ftx,SOL/USD,77.34,35.3075,35.305,8.59
2022-11-05T11:30:00.000000,ftx,SOL/USD,8.18,35.315,35.3125,50.03
2022-11-05T11:31:00.000000,ftx,SOL/USD,256.35,35.3075,35.305,0.1
2022-11-05T11:32:00.000000,ftx,SOL/USD,16.44,35.295,35.2925,264.64
2022-11-05T11:33:00.000000,ftx,SOL/USD,91.2,35.2675,35.265,217.13
2022-11-05T11:34:00.000000,ftx,SOL/USD,0.02,35.2525,35.25,399.05
2022-11-05T11:35:00.000000,ftx,SOL/USD,130.3,35.2925,35.29,4.85
2022-11-05T11:36:00.000000,ftx,SOL/USD,284.15,35.31,35.3075,75.13
2022-11-05T11:37:00.000000,ftx,SOL/USD,379.77,35.3125,35.31,73.51
2022-11-05T11:38:00.000000,ftx,SOL/USD,150.67,35.3075,35.305,0.02
2022-11-05T11:39:00.000000,ftx,SOL/USD,68.25,35.3175,35.315,117.8
2022-11-05T11:40:00.000000,ftx,SOL/USD,20.92,35.395,35.3925,161.87
2022-11-05T11:41:00.000000,ftx,SOL/USD,96.12,35.4225,35.4175,120.26
2022-11-05T11:42:00.000000,ftx,SOL/USD,10.0,35.46,35.4575,10.0
2022-11-05T11:43:00.000000,ftx,SOL/USD,397.28,35.475,35.47,238.5
2022-11-05T11:44:00.000000,ftx,SOL/USD,22.31,35.3625,35.36,48.51
2022-11-05T11:45:00.000000,ftx,SOL/USD,345.34,35.41,35.4075,0.01
2022-11-05T11:46:00.000000,ftx,SOL/USD,12.19,35.5025,35.495,10.0
2022-11-05T11:47:00.000000,ftx,SOL/USD,88.23,35.4625,35.46,0.2
2022-11-05T11:48:00.000000,ftx,SOL/USD,12.87,35.4175,35.415,10.16
2022-11-05T11:49:00.000000,ftx,SOL/USD,72.81,35.42,35.415,10.0
2022-11-05T11:50:00.000000,ftx,SOL/USD,366.3,35.4625,35.46,10.0
2022-11-05T11:51:00.000000,ftx,SOL/USD,12.5,35.3775,35.375,66.1
2022-11-05T11:52:00.000000,ftx,SOL/USD,0.62,35.39,35.3875,17.15
2022-11-05T11:53:00.000000,ftx,SOL/USD,73.7,35.38,35.3775,12.32
2022-11-05T11:54:00.000000,ftx,SOL/USD,4.8,35.41,35.4075,8.47
2022-11-05T11:55:00.000000,ftx,SOL/USD,97.07,35.465,35.4575,56.23
2022-11-05T11:56:00.000000,ftx,SOL/USD,25.04,35.47,35.4675,15.76
2022-11-05T11:57:00.000000,ftx,SOL/USD,82.45,35.435,35.4325,8.48
2022-11-05T11:58:00.000000,ftx,SOL/USD,78.79,35.42,35.4175,25.9
2022-11-05T11:59:00.000000,ftx,SOL/USD,65.0,35.425,35.42,10.0
2022-11-05T12:00:00.000000,ftx,SOL/USD,181.98,35.48,35.4775,9.0
2022-11-05T12:01:00.000000,ftx,SOL/USD,138.91,35.615,35.6125,85.51
2022-11-05T12:02:00.000000,ftx,SOL/USD,298.55,35.5425,35.5325,8.18
2022-11-05T12:03:00.000000,ftx,SOL/USD,85.14,35.4575,35.45,8.99
2022-11-05T12:04:00.000000,ftx,SOL/USD,9.13,35.42,35.4175,10.0
2022-11-05T12:05:00.000000,ftx,SOL/USD,109.56,35.39,35.3825,0.53
2022-11-05T12:06:00.000000,ftx,SOL/USD,347.62,35.3675,35.365,0.08
2022-11-05T12:07:00.000000,ftx,SOL/USD,83.5,35.3675,35.365,62.29
2022-11-05T12:08:00.000000,ftx,SOL/USD,8.13,35.32,35.3175,227.36
2022-11-05T12:09:00.000000,ftx,SOL/USD,48.55,35.2925,35.29,0.02
2022-11-05T12:10:00.000000,ftx,SOL/USD,410.58,35.2825,35.28,6.26
2022-11-05T12:11:00.000000,ftx,SOL/USD,14.11,35.3625,35.36,0.02
2022-11-05T12:12:00.000000,ftx,SOL/USD,0.41,35.35,35.3475,75.0
2022-11-05T12:13:00.000000,ftx,SOL/USD,306.34,35.315,35.3125,0.04
2022-11-05T12:14:00.000000,ftx,SOL/USD,85.06,35.2825,35.28,0.02
2022-11-05T12:15:00.000000,ftx,SOL/USD,80.31,35.35,35.3475,100.01
2022-11-05T12:16:00.000000,ftx,SOL/USD,10.0,35.28,35.2775,127.29
2022-11-05T12:17:00.000000,ftx,SOL/USD,155.93,35.23,35.2275,0.03
2022-11-05T12:18:00.000000,ftx,SOL/USD,17.72,35.18,35.1775,8.62
2022-11-05T12:19:00.000000,ftx,SOL/USD,261.15,35.16,35.1575,0.04
2022-11-05T12:20:00.000000,ftx,SOL/USD,0.02,35.2225,35.2175,100.09
2022-11-05T12:21:00.000000,ftx,SOL/USD,29.01,35.1925,35.19,8.56
2022-11-05T12:22:00.000000,ftx,SOL/USD,86.78,35.2325,35.225,62.29
2022-11-05T12:23:00.000000,ftx,SOL/USD,78.56,35.22,35.215,10.0
2022-11-05T12:24:00.000000,ftx,SOL/USD,134.33,35.205,35.2025,3.26
2022-11-05T12:25:00.000000,ftx,SOL/USD,17.11,35.25,35.2475,143.76
2022-11-05T12:26:00.000000,ftx,SOL/USD,146.71,35.2725,35.27,10.0
2022-11-05T12:27:00.000000,ftx,SOL/USD,78.5,35.2,35.1975,10.02
2022-11-05T12:28:00.000000,ftx,SOL/USD,76.24,35.1725,35.17,0.02
2022-11-05T12:29:00.000000,ftx,SOL/USD,11.15,35.19,35.1875,9.66
2022-11-05T12:30:00.000000,ftx,SOL/USD,3.01,35.22,35.2175,75.0
2022-11-05T12:31:00.000000,ftx,SOL/USD,14.08,35.2075,35.205,64.03
2022-11-05T12:32:00.000000,ftx,SOL/USD,13.69,35.1675,35.165,396.69
2022-11-05T12:33:00.000000,ftx,SOL/USD,6.18,35.1625,35.16,0.03
2022-11-05T12:34:00.000000,ftx,SOL/USD,18.54,35.1625,35.16,10.0
2022-11-05T12:35:00.000000,ftx,SOL/USD,11.78,35.21,35.205,65.04
2022-11-05T12:36:00.000000,ftx,SOL/USD,0.03,35.2175,35.215,133.66
2022-11-05T12:37:00.000000,ftx,SOL/USD,138.67,35.1825,35.18,0.04
2022-11-05T12:38:00.000000,ftx,SOL/USD,67.95,35.1875,35.185,8.54
2022-11-05T12:39:00.000000,ftx,SOL/USD,13.52,35.18,35.1775,65.03
2022-11-05T12:40:00.000000,ftx,SOL/USD,0.02,35.19,35.1875,129.92
2022-11-05T12:41:00.000000,ftx,SOL/USD,0.02,35.175,35.1725,64.57
2022-11-05T12:42:00.000000,ftx,SOL/USD,6.21,35.1925,35.19,118.1
2022-11-05T12:43:00.000000,ftx,SOL/USD,79.33,35.175,35.1725,58.83
2022-11-05T12:44:00.000000,ftx,SOL/USD,2.65,35.1625,35.16,160.95
2022-11-05T12:45:00.000000,ftx,SOL/USD,0.03,35.1575,35.155,0.01
2022-11-05T12:46:00.000000,ftx,SOL/USD,12.9,35.175,35.1725,65.02
2022-11-05T12:47:00.000000,ftx,SOL/USD,65.24,35.1825,35.18,55.12
2022-11-05T12:48:00.000000,ftx,SOL/USD,0.02,35.19,35.1875,370.17
2022-11-05T12:49:00.000000,ftx,SOL/USD,9.5,35.1725,35.17,75.44
2022-11-05T12:50:00.000000,ftx,SOL/USD,13.97,35.18,35.1775,75.04
2022-11-05T12:51:00.000000,ftx,SOL/USD,150.13,35.21,35.205,75.02
