,market_comparison,statistic,value
292,gate-io/SOL_USDT - binance/SOLUSDT,25%,-0.00036029392777181535
293,gate-io/SOL_USDT - binance/SOLUSDT,50%,0.0
294,gate-io/SOL_USDT - binance/SOLUSDT,75%,0.00036154261360454854
295,gate-io/SOL_USDT - binance/SOLUSDT,max,0.18099255438051376
296,gate-io/SOL_USDT - bitstamp/SOLUSD,count,28799.0
297,gate-io/SOL_USDT - bitstamp/SOLUSD,mean,5.588521109363156e-09
298,gate-io/SOL_USDT - bitstamp/SOLUSD,std,0.00929099720310592
299,gate-io/SOL_USDT - bitstamp/SOLUSD,min,-0.2875465902645713
300,gate-io/SOL_USDT - bitstamp/SOLUSD,25%,-0.0003908411226305475
301,gate-io/SOL_USDT - bitstamp/SOLUSD,50%,0.0
302,gate-io/SOL_USDT - bitstamp/SOLUSD,75%,0.00039309872721982053
303,gate-io/SOL_USDT - bitstamp/SOLUSD,max,0.2858121185140292
304,gate-io/SOL_USDT - ftx/SOL-PERP,count,28799.0
305,gate-io/SOL_USDT - ftx/SOL-PERP,mean,-5.184512900136344e-09
306,gate-io/SOL_USDT - ftx/SOL-PERP,std,0.00356008513885158
307,gate-io/SOL_USDT - ftx/SOL-PERP,min,-0.18170610710472923
308,gate-io/SOL_USDT - ftx/SOL-PERP,25%,-0.0003908411226305475
309,gate-io/SOL_USDT - ftx/SOL-PERP,50%,0.0
310,gate-io/SOL_USDT - ftx/SOL-PERP,75%,0.00040775409706284016
311,gate-io/SOL_USDT - ftx/SOL-PERP,max,0.1854619978281784
312,gate-io/SOL_USDT - ftx/SOL/USD,count,28799.0
313,gate-io/SOL_USDT - ftx/SOL/USD,mean,-1.1775169461627732e-08
314,gate-io/SOL_USDT - ftx/SOL/USD,std,0.014493180875550286
315,gate-io/SOL_USDT - ftx/SOL/USD,min,-0.2770216713378644
316,gate-io/SOL_USDT - ftx/SOL/USD,25%,-0.00040399574034299945
317,gate-io/SOL_USDT - ftx/SOL/USD,50%,0.0
318,gate-io/SOL_USDT - ftx/SOL/USD,75%,0.00039595233531519725
319,gate-io/SOL_USDT - ftx/SOL/USD,max,0.27827890133489674
320,gate-io/SOL_USDT - okex-swap/SOL-USDT-SWAP,count,28799.0
321,gate-io/SOL_USDT - okex-swap/SOL-USDT-SWAP,mean,-2.143388882533193e-09
322,gate-io/SOL_USDT - okex-swap/SOL-USDT-SWAP,std,0.0030153839785491935
323,gate-io/SOL_USDT - okex-swap/SOL-USDT-SWAP,min,-0.17914850322457543
324,gate-io/SOL_USDT - okex-swap/SOL-USDT-SWAP,25%,-0.00040771414108520254
325,gate-io/SOL_USDT - okex-swap/SOL-USDT-SWAP,50%,0.0
326,gate-io/SOL_USDT - okex-swap/SOL-USDT-SWAP,75%,0.0004044153826510133
327,gate-io/SOL_USDT - okex-swap/SOL-USDT-SWAP,max,0.18229290186908287
328,gate-io/SOL_USDT - okex/SOL-USDT,count,28799.0
329,gate-io/SOL_USDT - okex/SOL-USDT,mean,-9.3752447522797e-09
330,gate-io/SOL_USDT - okex/SOL-USDT,std,0.002175923881410884
331,gate-io/SOL_USDT - okex/SOL-USDT,min,-0.18288838486825876
332,gate-io/SOL_USDT - okex/SOL-USDT,25%,-0.00046828185981784287
333,gate-io/SOL_USDT - okex/SOL-USDT,50%,-1.3015382362979722e-06
334,gate-io/SOL_USDT - okex/SOL-USDT,75%,0.00046327334980400536
335,gate-io/SOL_USDT - okex/SOL-USDT,max,0.18192313851114283
336,okex-swap/SOL-USDT-SWAP - binance-futures/SOLUSDT,count,28799.0
337,okex-swap/SOL-USDT-SWAP - binance-futures/SOLUSDT,mean,3.0736173831099645e-09
338,okex-swap/SOL-USDT-SWAP - binance-futures/SOLUSDT,std,0.0015198714747554774
339,okex-swap/SOL-USDT-SWAP - binance-futures/SOLUSDT,min,-0.10535659577354162
340,okex-swap/SOL-USDT-SWAP - binance-futures/SOLUSDT,25%,-0.00026387963746965504
341,okex-swap/SOL-USDT-SWAP - binance-futures/SOLUSDT,50%,4.415718972694549e-07
342,okex-swap/SOL-USDT-SWAP - binance-futures/SOLUSDT,75%,0.0002676565565375988
343,okex-swap/SOL-USDT-SWAP - binance-futures/SOLUSDT,max,0.10373804539064047
344,okex-swap/SOL-USDT-SWAP - binance/SOLUSDT,count,28799.0
345,okex-swap/SOL-USDT-SWAP - binance/SOLUSDT,mean,7.731909991896349e-09
346,okex-swap/SOL-USDT-SWAP - binance/SOLUSDT,std,0.0024151997605375546
347,okex-swap/SOL-USDT-SWAP - binance/SOLUSDT,min,-0.11160739939647968
348,okex-swap/SOL-USDT-SWAP - binance/SOLUSDT,25%,-0.0003087391455107724
349,okex-swap/SOL-USDT-SWAP - binance/SOLUSDT,50%,0.0
350,okex-swap/SOL-USDT-SWAP - binance/SOLUSDT,75%,0.00030679860060289776
351,okex-swap/SOL-USDT-SWAP - binance/SOLUSDT,max,0.10054512710006591
