,market_comparison,statistic,value
283,gate-io/ETH_USDT - binance-futures/ETHUSDT,min,-0.07985872585279097
284,gate-io/ETH_USDT - binance-futures/ETHUSDT,25%,-0.00015542628793330238
285,gate-io/ETH_USDT - binance-futures/ETHUSDT,50%,-3.7569006128279625e-07
286,gate-io/ETH_USDT - binance-futures/ETHUSDT,75%,0.00015807574119808265
287,gate-io/ETH_USDT - binance-futures/ETHUSDT,max,0.08018630703317164
288,gate-io/ETH_USDT - binance/ETHUSDT,count,28799.0
289,gate-io/ETH_USDT - binance/ETHUSDT,mean,-1.1244427446124987e-08
290,gate-io/ETH_USDT - binance/ETHUSDT,std,0.0012151217857632832
291,gate-io/ETH_USDT - binance/ETHUSDT,min,-0.07958029459504345
292,gate-io/ETH_USDT - binance/ETHUSDT,25%,-0.00013926629825755654
293,gate-io/ETH_USDT - binance/ETHUSDT,50%,0.0
294,gate-io/ETH_USDT - binance/ETHUSDT,75%,0.00013915127686514595
295,gate-io/ETH_USDT - binance/ETHUSDT,max,0.08005494102882516
296,gate-io/ETH_USDT - bitstamp/ETHUSD,count,28799.0
297,gate-io/ETH_USDT - bitstamp/ETHUSD,mean,-1.3495126669231672e-08
298,gate-io/ETH_USDT - bitstamp/ETHUSD,std,0.0014303062391947798
299,gate-io/ETH_USDT - bitstamp/ETHUSD,min,-0.07928325071425224
300,gate-io/ETH_USDT - bitstamp/ETHUSD,25%,-0.0002768867570241973
301,gate-io/ETH_USDT - bitstamp/ETHUSD,50%,0.0
302,gate-io/ETH_USDT - bitstamp/ETHUSD,75%,0.00027549778147406556
303,gate-io/ETH_USDT - bitstamp/ETHUSD,max,0.07928920826612895
304,gate-io/ETH_USDT - ftx/ETH-PERP,count,28799.0
305,gate-io/ETH_USDT - ftx/ETH-PERP,mean,-2.6390430231360592e-08
306,gate-io/ETH_USDT - ftx/ETH-PERP,std,0.001877450213026108
307,gate-io/ETH_USDT - ftx/ETH-PERP,min,-0.07863522314191496
308,gate-io/ETH_USDT - ftx/ETH-PERP,25%,-0.00022125803252182052
309,gate-io/ETH_USDT - ftx/ETH-PERP,50%,0.0
310,gate-io/ETH_USDT - ftx/ETH-PERP,75%,0.00021853520435088925
311,gate-io/ETH_USDT - ftx/ETH-PERP,max,0.0783503806312531
312,gate-io/ETH_USDT - ftx/ETH/USD,count,28799.0
313,gate-io/ETH_USDT - ftx/ETH/USD,mean,-1.0367831843448049e-08
314,gate-io/ETH_USDT - ftx/ETH/USD,std,0.0066597783540068975
315,gate-io/ETH_USDT - ftx/ETH/USD,min,-0.173479448162853
316,gate-io/ETH_USDT - ftx/ETH/USD,25%,-0.00022976833231114213
317,gate-io/ETH_USDT - ftx/ETH/USD,50%,0.0
318,gate-io/ETH_USDT - ftx/ETH/USD,75%,0.0002355498292581082
319,gate-io/ETH_USDT - ftx/ETH/USD,max,0.17713793573756575
320,gate-io/ETH_USDT - okex-swap/ETH-USDT-SWAP,count,28799.0
321,gate-io/ETH_USDT - okex-swap/ETH-USDT-SWAP,mean,-1.3075302182317765e-08
322,gate-io/ETH_USDT - okex-swap/ETH-USDT-SWAP,std,0.00124204456891822
323,gate-io/ETH_USDT - okex-swap/ETH-USDT-SWAP,min,-0.07984645719598316
324,gate-io/ETH_USDT - okex-swap/ETH-USDT-SWAP,25%,-0.00016131782461492605
325,gate-io/ETH_USDT - okex-swap/ETH-USDT-SWAP,50%,0.0
326,gate-io/ETH_USDT - okex-swap/ETH-USDT-SWAP,75%,0.00016171736284187332
327,gate-io/ETH_USDT - okex-swap/ETH-USDT-SWAP,max,0.07999577262337798
328,gate-io/ETH_USDT - okex/ETH-USDT,count,28799.0
329,gate-io/ETH_USDT - okex/ETH-USDT,mean,-1.6421932291634964e-08
330,gate-io/ETH_USDT - okex/ETH-USDT,std,0.001264130232744763
331,gate-io/ETH_USDT - okex/ETH-USDT,min,-0.0793092690088466
332,gate-io/ETH_USDT - okex/ETH-USDT,25%,-0.00019802779670730075
333,gate-io/ETH_USDT - okex/ETH-USDT,50%,0.0
334,gate-io/ETH_USDT - okex/ETH-USDT,75%,0.00019526189337293332
335,gate-io/ETH_USDT - okex/ETH-USDT,max,0.0794847431803758
336,okex-swap/ETH-USDT-SWAP - binance-futures/ETHUSDT,count,28799.0
337,okex-swap/ETH-USDT-SWAP - binance-futures/ETHUSDT,mean,8.838769470428121e-09
338,okex-swap/ETH-USDT-SWAP - binance-futures/ETHUSDT,std,0.00022324676318466103
339,okex-swap/ETH-USDT-SWAP - binance-futures/ETHUSDT,min,-0.006686915858542974
340,okex-swap/ETH-USDT-SWAP - binance-futures/ETHUSDT,25%,-9.851706008534578e-05
341,okex-swap/ETH-USDT-SWAP - binance-futures/ETHUSDT,50%,-2.0761968322347002e-07
342,okex-swap/ETH-USDT-SWAP - binance-futures/ETHUSDT,75%,9.902456585164643e-05
343,okex-swap/ETH-USDT-SWAP - binance-futures/ETHUSDT,max,0.004786440387745117
344,okex-swap/ETH-USDT-SWAP - binance/ETHUSDT,count,28799.0
